CustomerID,MonthlyCharges,Contract_One year,Contract_Two year,ChurnProbability,PredictedChurn,Contract,RiskCategory,RetentionStrategy
4376-KFVRS,114.0500030517578,0,1,0.023013545199799618,0,Two year,Low Risk,Standard retention monitoring
2754-SDJRD,100.1500015258789,0,0,0.6292417282735311,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9917-KWRBE,78.3499984741211,1,0,0.023656749946730896,0,One year,Low Risk,Standard retention monitoring
0365-GXEZS,78.19999694824219,0,0,0.5030806371478753,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9385-NXKDA,82.6500015258789,0,1,0.009767846248368718,0,Two year,Low Risk,Standard retention monitoring
4686-UXDML,99.8499984741211,0,0,0.6460619221886961,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
2227-JRSJX,99.1500015258789,0,0,0.7307875673603635,1,Month-to-month,High Risk,Offer contract upgrade discount
4830-FAXFM,24.100000381469727,0,0,0.11337686476151144,0,Month-to-month,Low Risk,Standard retention monitoring
1830-IPXVJ,19.75,0,1,0.0018479861991748836,0,Two year,Low Risk,Standard retention monitoring
4690-LLKUA,45.04999923706055,0,0,0.5420721985185668,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
5804-HYIEZ,106.0500030517578,0,0,0.3417568344113583,0,Month-to-month,Low Risk,Standard retention monitoring
2388-LAESQ,114.8499984741211,0,1,0.08741504888077278,0,Two year,Low Risk,Standard retention monitoring
5533-RJFTJ,30.200000762939453,0,0,0.3691719055093058,0,Month-to-month,Low Risk,Standard retention monitoring
4706-AXVKM,84.80000305175781,0,0,0.7108733330616678,1,Month-to-month,High Risk,Offer contract upgrade discount
0997-YTLNY,48.79999923706055,0,0,0.20597898810002163,0,Month-to-month,Low Risk,Standard retention monitoring
7971-HLVXI,84.5,0,1,0.06599088636693692,0,Two year,Low Risk,Standard retention monitoring
7337-CINUD,19.5,0,1,0.08051460300850635,0,Two year,Low Risk,Standard retention monitoring
1379-FRVEB,91.0,0,0,0.655965458354496,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4753-PADAS,105.6999969482422,1,0,0.42660261527423265,0,One year,Medium Risk,Offer targeted discount
5701-GUXDC,35.400001525878906,1,0,0.06502875852453405,0,One year,Low Risk,Standard retention monitoring
7235-NXZCP,74.8499984741211,0,0,0.7482905858636854,1,Month-to-month,High Risk,Offer contract upgrade discount
0668-OGMHD,28.5,0,0,0.329725943855875,0,Month-to-month,Low Risk,Standard retention monitoring
2812-REYAT,20.049999237060547,1,0,0.03484399619646085,0,One year,Low Risk,Standard retention monitoring
8779-YIQQA,19.799999237060547,1,0,0.03193225522302755,0,One year,Low Risk,Standard retention monitoring
9701-CDXHR,69.1500015258789,0,0,0.41895297463269077,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
7130-CTCUS,54.54999923706055,0,0,0.295121667102853,0,Month-to-month,Low Risk,Standard retention monitoring
1894-IGFSG,89.25,0,0,0.8269714555035764,1,Month-to-month,High Risk,Offer contract upgrade discount
0871-URUWO,102.25,0,0,0.7050700810581302,1,Month-to-month,High Risk,Offer contract upgrade discount
0057-QBUQH,25.100000381469727,0,1,0.01230756232396909,0,Two year,Low Risk,Standard retention monitoring
9611-CTWIH,89.44999694824219,0,0,0.8731650722139287,1,Month-to-month,High Risk,Offer contract upgrade discount
8058-DMYRU,90.05000305175781,0,0,0.5727240246571856,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
5351-QESIO,24.200000762939453,0,0,0.6103224741701699,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
4302-ZYFEL,20.549999237060547,1,0,0.0025399445519202896,0,One year,Low Risk,Standard retention monitoring
6134-KWTBV,23.399999618530277,0,1,0.012118462087545134,0,Two year,Low Risk,Standard retention monitoring
2034-GDRCN,90.4000015258789,0,0,0.8818913753479244,1,Month-to-month,High Risk,Offer contract upgrade discount
9544-PYPSJ,96.0999984741211,0,0,0.21494608440804322,0,Month-to-month,Low Risk,Standard retention monitoring
4208-UFFGW,44.95000076293945,0,0,0.5787810524385645,1,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
9537-JALFH,19.899999618530277,0,1,0.003599382042779942,0,Two year,Low Risk,Standard retention monitoring
4415-IJZTP,74.5,0,0,0.8499935140296553,1,Month-to-month,High Risk,Offer contract upgrade discount
4701-MLJPN,55.25,0,0,0.2755371362471257,0,Month-to-month,Low Risk,Standard retention monitoring
7515-LODFU,20.299999237060547,0,1,0.0021394913295737124,0,Two year,Low Risk,Standard retention monitoring
4927-WWOOZ,91.4499969482422,0,0,0.7884843531822766,1,Month-to-month,High Risk,Offer contract upgrade discount
4067-HLYQI,70.4000015258789,0,0,0.8233029692190399,1,Month-to-month,High Risk,Offer contract upgrade discount
6184-DYUOB,19.600000381469727,0,0,0.30303732341649237,0,Month-to-month,Low Risk,Standard retention monitoring
9209-NWPGU,65.4000015258789,1,0,0.05975014490095443,0,One year,Low Risk,Standard retention monitoring
3523-BRGUW,110.0999984741211,0,0,0.3978365787252441,0,Month-to-month,Low Risk,Standard retention monitoring
3199-XGZCY,75.25,0,0,0.8303594519678688,1,Month-to-month,High Risk,Offer contract upgrade discount
4226-KKDON,66.6500015258789,0,0,0.4452657184463188,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
1085-LDWAM,20.350000381469727,1,0,0.0025657382118555233,0,One year,Low Risk,Standard retention monitoring
6825-UYPFK,75.5999984741211,0,0,0.8610771127669025,1,Month-to-month,High Risk,Offer contract upgrade discount
1767-CJKBA,25.100000381469727,0,1,0.004470097483739928,0,Two year,Low Risk,Standard retention monitoring
7181-BQYBV,102.4499969482422,0,0,0.48373136028541136,0,Month-to-month,Medium Risk,Offer loyalty benefits and contract upgrade
0178-CIIKR,19.950000762939453,0,0,0.37003707390991214,0,Month-to-month,Low Risk,Standard retention monitoring
4256-ZWTZI,51.0,0,0,0.33921079271304644,0,Month-to-month,Low Risk,Standard retention monitoring
9537-VHDTA,51.20000076293945,0,0,0.3342090447385816,0,Month-to-month,Low Risk,Standard retention monitoring
